Chromosome,Start,End,ID,Name,Range
chr1,381095,381790,SRX16500061,CTCF,695
chr1,381147,381778,SRX4174629,CTCF,631
chr1,410774,410954,SRX5075169,SMARCA4,180
chr1,410807,410989,SRX5075170,SMARCA4,182
chr1,430088,430437,SRX16500060,CTCF,349
chr1,430220,430465,SRX16500061,CTCF,245
chr1,435472,435815,SRX16500062,CTCF,343
chr1,435502,435969,SRX16500059,CTCF,467
chr1,435512,435918,SRX16500060,CTCF,406
chr1,435581,435963,SRX16500061,CTCF,382
chr1,449576,450051,SRX16500060,CTCF,475
chr1,449579,450082,SRX16500062,CTCF,503
chr1,449579,450097,SRX16500059,CTCF,518
chr1,449628,450060,SRX16500061,CTCF,432
chr1,449629,449972,SRX4174629,CTCF,343
chr1,585981,586483,SRX16500060,CTCF,502
chr1,585992,586445,SRX16500059,CTCF,453
chr1,585996,586410,SRX16500061,CTCF,414
chr1,585997,586390,SRX16500062,CTCF,393
chr1,586052,586345,SRX4174629,CTCF,293
chr1,586055,586340,SRX5075174,SMARCA4,285
chr1,586057,586324,SRX5075168,SMARCA4,267
chr1,586070,586331,SRX5075170,SMARCA4,261
chr1,586091,586308,SRX5716464,SMARCA4,217
chr1,586103,586288,SRX5075176,SMARCA4,185
chr1,586134,586338,SRX5716463,SMARCA4,204
chr1,586136,586316,SRX5075169,SMARCA4,180
chr1,609250,610849,SRX16500060,CTCF,1599
chr1,609250,610880,SRX16500059,CTCF,1630
chr1,609291,610857,SRX16500061,CTCF,1566
chr1,609294,610888,SRX16500062,CTCF,1594
chr1,629127,629177,SRX5075180,SMARCA2,50
chr1,629136,630043,SRX5716455,SOX3,907
chr1,629151,629439,SRX4174629,CTCF,288
chr1,629165,629994,SRX5716452,SOX2,829
chr1,629205,630000,SRX20140897,INTS13,795
chr1,629221,630034,SRX20140895,INTS13,813
chr1,629222,629980,SRX5716451,SOX2,758
chr1,629223,629995,SRX5716453,SOX2,772
chr1,629227,629983,SRX5020211,SMARCA2,756
chr1,629229,629970,SRX20140881,CPSF3L,741
chr1,629232,629466,SRX5716454,SOX3,234
chr1,629250,629452,SRX5075176,SMARCA4,202
chr1,629250,629974,SRX5075181,SMARCA2,724
chr1,629253,629976,SRX5716468,SMARCA2,723
chr1,629257,629981,SRX5075182,SMARCA2,724
chr1,629264,629956,SRX5054307,FOSL2,692
chr1,629268,630021,SRX20140869,INTS10,753
chr1,629280,629997,SRX20140879,CPSF3L,717
chr1,629287,630008,SRX20140894,INTS13,721
chr1,629290,629955,SRX20140896,INTS13,665
chr1,629309,629433,SRX5075180,SMARCA2,124
chr1,629311,629990,SRX20140868,INTS10,679
chr1,629382,629882,SRX20140890,SOX2,500
chr1,629385,629955,SRX20140862,SOX2,570
chr1,629497,629978,SRX5716456,SOX3,481
chr1,629498,629937,SRX20140892,SOX2,439
chr1,629504,629860,SRX4174629,CTCF,356
chr1,629519,629976,SRX5020214,SMARCA2,457
chr1,629523,629967,SRX5716454,SOX3,444
chr1,629532,629988,SRX16500059,CTCF,456
chr1,629534,629585,SRX5075180,SMARCA2,51
chr1,629539,629834,SRX20140867,INTS10,295
chr1,629542,629984,SRX5075176,SMARCA4,442
chr1,629648,629960,SRX16500061,CTCF,312
chr1,629663,629989,SRX5075180,SMARCA2,326
chr1,629666,629901,SRX5716469,SMARCA4,235
chr1,629666,629984,SRX16500060,CTCF,318
chr1,629670,629958,SRX20140861,SOX2,288
chr1,629675,629970,SRX16500062,CTCF,295
chr1,629715,629942,SRX5075175,SMARCA4,227
chr1,630767,630991,SRX5020211,SMARCA2,224
chr1,630769,631321,SRX5716468,SMARCA2,552
chr1,630773,631316,SRX5075182,SMARCA2,543
chr1,630778,631341,SRX5716453,SOX2,563
chr1,630780,631333,SRX20140897,INTS13,553
chr1,630782,631303,SRX5075181,SMARCA2,521
chr1,630785,631317,SRX5054307,FOSL2,532
chr1,630785,631342,SRX5716454,SOX3,557
chr1,630785,631348,SRX5716451,SOX2,563
chr1,630788,631354,SRX5716455,SOX3,566
chr1,630793,631353,SRX5716452,SOX2,560
chr1,630795,631260,SRX20140892,SOX2,465
chr1,630796,631334,SRX20140895,INTS13,538
chr1,630798,631322,SRX20140869,INTS10,524
chr1,630807,631289,SRX20140868,INTS10,482
chr1,630811,631284,SRX20140896,INTS13,473
chr1,630823,630928,SRX5075180,SMARCA2,105
chr1,630827,631276,SRX5020214,SMARCA2,449
chr1,630837,631299,SRX5716456,SOX3,462
chr1,630842,631269,SRX20140879,CPSF3L,427
chr1,630847,631300,SRX20140881,CPSF3L,453
chr1,630851,631275,SRX20140862,SOX2,424
chr1,630856,631358,SRX4174629,CTCF,502
chr1,630866,631293,SRX20140894,INTS13,427
chr1,630876,631279,SRX20140880,CPSF3L,403
chr1,630951,631184,SRX5716463,SMARCA4,233
chr1,631048,631155,SRX5075180,SMARCA2,107
chr1,631055,631338,SRX5020211,SMARCA2,283
chr1,631232,631345,SRX5075180,SMARCA2,113
chr1,631875,632299,SRX5075181,SMARCA2,424
chr1,631879,632309,SRX5716451,SOX2,430
chr1,631879,632313,SRX5075182,SMARCA2,434
chr1,631881,632458,SRX5716452,SOX2,577
chr1,631881,632633,SRX5716455,SOX3,752
chr1,631882,632468,SRX5716453,SOX2,586
chr1,631885,632370,SRX5020214,SMARCA2,485
chr1,631890,632295,SRX5716454,SOX3,405
chr1,631893,632299,SRX5020211,SMARCA2,406
chr1,631897,632061,SRX5075180,SMARCA2,164
chr1,631902,632235,SRX5716468,SMARCA2,333
chr1,631904,632274,SRX4174629,CTCF,370
chr1,631911,632856,SRX20140895,INTS13,945
chr1,631914,632223,SRX16500060,CTCF,309
chr1,631914,632828,SRX20140897,INTS13,914
chr1,631924,632812,SRX20140869,INTS10,888
chr1,631929,632260,SRX20140879,CPSF3L,331
chr1,631933,632245,SRX16500062,CTCF,312
chr1,631944,632265,SRX5716456,SOX3,321
chr1,631949,632613,SRX20140881,CPSF3L,664
chr1,631952,632241,SRX16500059,CTCF,289
chr1,631952,632624,SRX20140896,INTS13,672
chr1,631954,632280,SRX5075176,SMARCA4,326
chr1,631956,632253,SRX16500061,CTCF,297
chr1,631957,632252,SRX20140868,INTS10,295
chr1,631968,632276,SRX20140894,INTS13,308
chr1,631985,632261,SRX20140862,SOX2,276
chr1,631999,632273,SRX5054307,FOSL2,274
chr1,632031,632266,SRX5075170,SMARCA4,235
chr1,632147,632278,SRX5075180,SMARCA2,131
chr1,632176,632244,SRX1424894,POU3F2,68
chr1,632510,632780,SRX20140894,INTS13,270
chr1,632520,632794,SRX5716453,SOX2,274
chr1,632526,632650,SRX5075180,SMARCA2,124
chr1,632527,632815,SRX5716452,SOX2,288
chr1,632529,632785,SRX5020211,SMARCA2,256
chr1,632538,632780,SRX20140879,CPSF3L,242
chr1,633320,633624,SRX16500059,CTCF,304
chr1,633321,633543,SRX16500060,CTCF,222
chr1,633333,633600,SRX16500062,CTCF,267
chr1,633379,633602,SRX16500061,CTCF,223
chr1,633407,633502,SRX5075180,SMARCA2,95
chr1,633792,634779,SRX20140897,INTS13,987
chr1,633797,634778,SRX20140895,INTS13,981
chr1,633834,634204,SRX16500059,CTCF,370
chr1,633857,634206,SRX16500060,CTCF,349
chr1,633858,634195,SRX16500062,CTCF,337
chr1,633873,634196,SRX5716451,SOX2,323
chr1,633876,634228,SRX20140879,CPSF3L,352
chr1,633880,634200,SRX16500061,CTCF,320
chr1,633882,634197,SRX5075182,SMARCA2,315
chr1,633890,634204,SRX5020214,SMARCA2,314
chr1,633891,634228,SRX5020211,SMARCA2,337
chr1,633893,634451,SRX20140869,INTS10,558
chr1,633894,634181,SRX5054307,FOSL2,287
chr1,633894,634219,SRX5716454,SOX3,325
chr1,633895,634217,SRX5716468,SMARCA2,322
chr1,633897,634196,SRX20140862,SOX2,299
chr1,633897,634392,SRX20140894,INTS13,495
chr1,633902,634212,SRX4174629,CTCF,310
chr1,633902,634394,SRX20140881,CPSF3L,492
chr1,633903,634289,SRX5716452,SOX2,386
chr1,633903,634311,SRX5716455,SOX3,408
chr1,633907,634116,SRX5075170,SMARCA4,209
chr1,633908,634289,SRX5716453,SOX2,381
chr1,633909,634187,SRX5075181,SMARCA2,278
chr1,633911,634191,SRX5716456,SOX3,280
chr1,633912,634185,SRX5075176,SMARCA4,273
chr1,633917,634284,SRX20140868,INTS10,367
chr1,633918,634771,SRX20140896,INTS13,853
chr1,633923,634071,SRX5075180,SMARCA2,148
chr1,633937,634194,SRX20140892,SOX2,257
chr1,633998,634176,SRX5075174,SMARCA4,178
chr1,634000,634051,SRX5020208,SMARCA2,51
chr1,634838,634891,SRX5075180,SMARCA2,53
chr1,646505,646755,SRX5075168,SMARCA4,250
chr1,665932,666159,SRX16500060,CTCF,227
chr1,670506,670872,SRX16500059,CTCF,366
chr1,670541,670893,SRX16500060,CTCF,352
chr1,670551,670837,SRX16500062,CTCF,286
chr1,670570,670813,SRX16500061,CTCF,243
chr1,684554,685003,SRX16500062,CTCF,449
chr1,684568,685032,SRX16500059,CTCF,464
chr1,684568,685036,SRX16500060,CTCF,468
chr1,684571,685058,SRX16500061,CTCF,487
chr1,684596,684885,SRX4174629,CTCF,289
chr1,684655,684839,SRX5075174,SMARCA4,184
chr1,684683,684852,SRX5075170,SMARCA4,169
chr1,763763,763962,SRX5075176,SMARCA4,199
chr1,778347,779166,SRX16500060,CTCF,819
chr1,778377,779207,SRX20140895,INTS13,830
chr1,778386,779072,SRX16500062,CTCF,686
chr1,778403,778961,SRX16500059,CTCF,558
chr1,778404,778667,SRX20140881,CPSF3L,263
chr1,778418,779209,SRX20140868,INTS10,791
chr1,778425,779098,SRX20140867,INTS10,673
chr1,778441,779060,SRX5716463,SMARCA4,619
chr1,778445,778625,SRX5075176,SMARCA4,180
chr1,778452,778982,SRX16500061,CTCF,530
chr1,778466,778900,SRX20140869,INTS10,434
chr1,778488,779111,SRX20140897,INTS13,623
chr1,778489,779150,SRX5075168,SMARCA4,661
chr1,778548,779069,SRX5075174,SMARCA4,521
chr1,778550,779029,SRX5075170,SMARCA4,479
chr1,778574,778876,SRX5716469,SMARCA4,302
chr1,778613,779097,SRX4174629,CTCF,484
chr1,778644,778857,SRX5054307,FOSL2,213
chr1,778694,779087,SRX5075176,SMARCA4,393
chr1,778720,778910,SRX5716451,SOX2,190
chr1,778776,779025,SRX5716464,SMARCA4,249
chr1,778838,779075,SRX5075175,SMARCA4,237
chr1,789917,789959,SRX1424893,POU3F2,42
chr1,790922,790966,SRX1424893,POU3F2,44
chr1,790925,790966,SRX1424894,POU3F2,41
chr1,790926,790966,SRX1424891,POU3F2,40
chr1,791554,791600,SRX1424893,POU3F2,46
chr1,791556,791596,SRX1424891,POU3F2,40
chr1,791557,791599,SRX1424894,POU3F2,42
chr1,810928,811264,SRX5075170,SMARCA4,336
chr1,810929,811291,SRX5075176,SMARCA4,362
chr1,810956,811168,SRX5716469,SMARCA4,212
chr1,810974,811187,SRX5075175,SMARCA4,213
chr1,810999,811202,SRX5075169,SMARCA4,203
chr1,811009,811205,SRX5075174,SMARCA4,196
chr1,827139,827969,SRX20140895,INTS13,830
chr1,827305,827584,SRX20140869,INTS10,279
chr1,827382,827748,SRX5075168,SMARCA4,366
chr1,827395,827890,SRX5075170,SMARCA4,495
chr1,827400,827741,SRX5075174,SMARCA4,341
chr1,827419,827986,SRX5075176,SMARCA4,567
chr1,827564,827820,SRX5716470,SMARCA4,256
chr1,827574,827941,SRX5075175,SMARCA4,367
chr1,827601,827815,SRX20140867,INTS10,214
chr1,857889,858206,SRX16500062,CTCF,317
chr1,857904,858283,SRX16500059,CTCF,379
chr1,857937,858223,SRX16500060,CTCF,286
chr1,857957,858228,SRX16500061,CTCF,271
chr1,858030,858244,SRX4174629,CTCF,214
chr1,869657,870218,SRX16500059,CTCF,561
chr1,869671,870144,SRX16500062,CTCF,473
chr1,869684,870196,SRX16500061,CTCF,512
chr1,869694,870170,SRX16500060,CTCF,476
chr1,869733,870107,SRX5075168,SMARCA4,374
chr1,869770,870086,SRX5075176,SMARCA4,316
chr1,869777,870012,SRX5716463,SMARCA4,235
chr1,869783,870118,SRX5075174,SMARCA4,335
chr1,869806,870124,SRX5075170,SMARCA4,318
chr1,869827,870084,SRX5716470,SMARCA4,257
chr1,869830,870112,SRX5716464,SMARCA4,282
chr1,869832,870021,SRX5075169,SMARCA4,189
chr1,904428,904979,SRX16500060,CTCF,551
chr1,904467,905010,SRX20140895,INTS13,543
chr1,904470,904937,SRX5075169,SMARCA4,467
chr1,904474,904952,SRX5716470,SMARCA4,478
chr1,904522,904966,SRX5075168,SMARCA4,444
chr1,904523,904970,SRX16500061,CTCF,447
chr1,904528,904968,SRX16500062,CTCF,440
chr1,904530,904996,SRX20140868,INTS10,466
chr1,904532,904988,SRX16500059,CTCF,456
chr1,904580,904949,SRX5075170,SMARCA4,369
chr1,904585,904931,SRX5075176,SMARCA4,346
chr1,904594,904977,SRX5075174,SMARCA4,383
chr1,904603,904932,SRX5716463,SMARCA4,329
chr1,904608,904936,SRX5075175,SMARCA4,328
chr1,904630,904853,SRX5716464,SMARCA4,223
chr1,904656,904876,SRX20140867,INTS10,220
chr1,904693,904948,SRX20140897,INTS13,255
chr1,904725,904956,SRX5716469,SMARCA4,231
chr1,904770,904999,SRX4174629,CTCF,229
chr1,920955,921321,SRX16500059,CTCF,366
chr1,920969,921333,SRX16500062,CTCF,364
chr1,920969,921418,SRX16500060,CTCF,449
chr1,920996,921301,SRX5075170,SMARCA4,305
chr1,921003,921371,SRX16500061,CTCF,368
chr1,921015,921265,SRX5716470,SMARCA4,250
chr1,921023,921268,SRX5075175,SMARCA4,245
chr1,921039,921266,SRX5075169,SMARCA4,227
chr1,921056,921262,SRX5075176,SMARCA4,206
chr1,921069,921395,SRX5075174,SMARCA4,326
chr1,921072,921373,SRX5075168,SMARCA4,301
chr1,923708,923970,SRX5075168,SMARCA4,262
chr1,923742,923977,SRX5075170,SMARCA4,235
chr1,923757,923993,SRX5075174,SMARCA4,236
chr1,923870,924045,SRX5075176,SMARCA4,175
chr1,940170,940493,SRX5716470,SMARCA4,323
chr1,940203,940531,SRX5716469,SMARCA4,328
chr1,940248,940481,SRX5075176,SMARCA4,233
chr1,940257,940488,SRX5075175,SMARCA4,231
chr1,940258,940551,SRX5075170,SMARCA4,293
chr1,940262,940453,SRX5075169,SMARCA4,191
chr1,941746,941969,SRX20140867,INTS10,223
chr1,941790,941974,SRX5075170,SMARCA4,184
chr1,941863,942075,SRX5075168,SMARCA4,212
chr1,951373,951679,SRX16500060,CTCF,306
chr1,951420,951729,SRX16500061,CTCF,309
chr1,951435,951790,SRX16500062,CTCF,355
chr1,951445,951758,SRX16500059,CTCF,313
chr1,959151,959417,SRX20140895,INTS13,266
chr1,959179,959426,SRX5075170,SMARCA4,247
chr1,959306,959498,SRX5075174,SMARCA4,192
chr1,960480,960697,SRX5075168,SMARCA4,217
chr1,966832,967085,SRX5716469,SMARCA4,253
chr1,966854,967125,SRX5075170,SMARCA4,271
chr1,966874,967185,SRX5075176,SMARCA4,311
chr1,966889,967099,SRX5054309,FOSL2,210
chr1,966974,967185,SRX5716470,SMARCA4,211
chr1,975950,976479,SRX16500060,CTCF,529
chr1,975958,976492,SRX16500061,CTCF,534
chr1,975974,976484,SRX16500062,CTCF,510
chr1,975977,976502,SRX16500059,CTCF,525
chr1,976050,976299,SRX5075174,SMARCA4,249
chr1,976112,976281,SRX5075170,SMARCA4,169
chr1,984068,984570,SRX16500062,CTCF,502
chr1,984088,984589,SRX16500061,CTCF,501
chr1,984095,984615,SRX16500060,CTCF,520
chr1,984095,984632,SRX16500059,CTCF,537
chr1,984172,984465,SRX5716470,SMARCA4,293
chr1,984181,984559,SRX4174629,CTCF,378
chr1,984207,984427,SRX5075168,SMARCA4,220
chr1,984230,984516,SRX5075174,SMARCA4,286
chr1,984237,984467,SRX5075175,SMARCA4,230
chr1,999717,1001067,SRX20140895,INTS13,1350
chr1,999773,1000395,SRX20140879,CPSF3L,622
chr1,999778,1000431,SRX20140881,CPSF3L,653
chr1,999791,1000861,SRX20140867,INTS10,1070
chr1,999827,1000806,SRX20140868,INTS10,979
chr1,999830,1000471,SRX20140896,INTS13,641
chr1,999843,1000544,SRX20140897,INTS13,701
chr1,999845,1000294,SRX20140880,CPSF3L,449
chr1,999944,1000867,SRX20140869,INTS10,923
chr1,999967,1000380,SRX5075176,SMARCA4,413
chr1,999984,1000347,SRX20140870,INTS10,363
chr1,1000006,1000403,SRX20140894,INTS13,397
chr1,1000009,1000290,SRX20140882,CPSF3L,281
chr1,1000042,1000408,SRX5716470,SMARCA4,366
chr1,1000079,1000401,SRX5075170,SMARCA4,322
chr1,1000090,1000464,SRX5075168,SMARCA4,374
chr1,1000118,1000373,SRX5075174,SMARCA4,255
chr1,1000218,1000411,SRX5075175,SMARCA4,193
chr1,1001755,1002283,SRX16500059,CTCF,528
chr1,1001799,1002327,SRX16500060,CTCF,528
chr1,1001800,1002246,SRX16500061,CTCF,446
chr1,1001805,1002241,SRX16500062,CTCF,436
chr1,1001817,1002100,SRX5075174,SMARCA4,283
chr1,1001870,1002099,SRX5075168,SMARCA4,229
chr1,1001890,1002109,SRX5075169,SMARCA4,219
chr1,1001892,1002104,SRX5075170,SMARCA4,212
chr1,1001906,1002121,SRX5075176,SMARCA4,215
chr1,1001996,1002251,SRX4174629,CTCF,255
chr1,1013084,1013497,SRX5075169,SMARCA4,413
chr1,1013172,1013572,SRX5075175,SMARCA4,400
chr1,1013193,1013405,SRX5716468,SMARCA2,212
chr1,1013193,1013614,SRX5716470,SMARCA4,421
chr1,1013202,1013711,SRX5075176,SMARCA4,509
chr1,1013214,1013653,SRX5075170,SMARCA4,439
chr1,1013222,1013744,SRX5716469,SMARCA4,522
chr1,1013252,1013588,SRX5075174,SMARCA4,336
chr1,1013273,1013488,SRX5716467,SMARCA2,215
chr1,1013310,1013571,SRX5075168,SMARCA4,261
chr1,1016236,1016280,SRX1424892,POU3F2,44
chr1,1016236,1016282,SRX1424891,POU3F2,46
chr1,1016236,1016282,SRX1424894,POU3F2,46
chr1,1016236,1016283,SRX1424893,POU3F2,47
chr1,1019131,1019439,SRX5054309,FOSL2,308
chr1,1019192,1019568,SRX16500059,CTCF,376
chr1,1019215,1019487,SRX16500060,CTCF,272
chr1,1019225,1019478,SRX16500061,CTCF,253
chr1,1019241,1020116,SRX5075168,SMARCA4,875
chr1,1019303,1019934,SRX5075170,SMARCA4,631
chr1,1019308,1019595,SRX5716463,SMARCA4,287
chr1,1019317,1020096,SRX5075174,SMARCA4,779
chr1,1019355,1019884,SRX5075176,SMARCA4,529
chr1,1019380,1019639,SRX5054307,FOSL2,259
chr1,1019521,1019955,SRX5716470,SMARCA4,434
chr1,1019553,1019974,SRX20140868,INTS10,421
chr1,1019554,1019953,SRX20140867,INTS10,399
chr1,1019554,1020395,SRX20140895,INTS13,841
chr1,1019637,1019921,SRX5075169,SMARCA4,284
chr1,1019644,1019867,SRX5075175,SMARCA4,223
chr1,1021128,1021394,SRX5075176,SMARCA4,266
chr1,1021225,1021396,SRX5075170,SMARCA4,171
chr1,1032840,1033301,SRX16500062,CTCF,461
chr1,1032877,1033359,SRX16500059,CTCF,482
chr1,1032890,1033330,SRX16500061,CTCF,440
chr1,1032896,1033334,SRX16500060,CTCF,438
chr1,1032911,1033270,SRX4174629,CTCF,359
chr1,1032973,1033294,SRX20140895,INTS13,321
chr1,1032977,1033390,SRX5075174,SMARCA4,413
chr1,1033023,1033377,SRX5075168,SMARCA4,354
chr1,1033116,1033379,SRX5716463,SMARCA4,263
chr1,1040636,1040867,SRX5716470,SMARCA4,231
chr1,1040652,1040918,SRX5075169,SMARCA4,266
chr1,1040659,1040919,SRX5716469,SMARCA4,260
chr1,1040669,1040941,SRX5075170,SMARCA4,272
chr1,1040704,1040927,SRX5075174,SMARCA4,223
chr1,1040710,1040923,SRX5075168,SMARCA4,213
chr1,1040710,1040928,SRX5075176,SMARCA4,218
chr1,1059244,1059569,SRX16500062,CTCF,325
chr1,1059244,1059574,SRX16500059,CTCF,330
chr1,1059251,1059597,SRX16500061,CTCF,346
chr1,1059255,1059583,SRX16500060,CTCF,328
chr1,1059382,1059705,SRX20140895,INTS13,323
chr1,1059413,1059696,SRX5075168,SMARCA4,283
chr1,1059419,1059782,SRX5075174,SMARCA4,363
chr1,1059525,1059789,SRX5054307,FOSL2,264
chr1,1063730,1064221,SRX16500062,CTCF,491
chr1,1063751,1064202,SRX16500060,CTCF,451
chr1,1063760,1064190,SRX16500059,CTCF,430
chr1,1063777,1064202,SRX16500061,CTCF,425
chr1,1064075,1064531,SRX5075170,SMARCA4,456
chr1,1064089,1064549,SRX5075169,SMARCA4,460
chr1,1064092,1064517,SRX5075176,SMARCA4,425
chr1,1064162,1064467,SRX5716467,SMARCA2,305
chr1,1064174,1064506,SRX5054309,FOSL2,332
chr1,1064196,1064530,SRX5075175,SMARCA4,334
chr1,1064197,1064504,SRX5054308,FOSL2,307
chr1,1064202,1064497,SRX5716470,SMARCA4,295
chr1,1064213,1064528,SRX5716469,SMARCA4,315
chr1,1064271,1064493,SRX5075174,SMARCA4,222
chr1,1069243,1069597,SRX5075168,SMARCA4,354
chr1,1069255,1069611,SRX5075174,SMARCA4,356
chr1,1069271,1069602,SRX20140895,INTS13,331
chr1,1079326,1079771,SRX20140869,INTS10,445
chr1,1079430,1079800,SRX5716470,SMARCA4,370
chr1,1079431,1079763,SRX20140895,INTS13,332
chr1,1079456,1079929,SRX20140897,INTS13,473
chr1,1079488,1080000,SRX5075169,SMARCA4,512
chr1,1079495,1079967,SRX5075170,SMARCA4,472
chr1,1079499,1079808,SRX5075176,SMARCA4,309
chr1,1079509,1079793,SRX5075175,SMARCA4,284
